assignment_index,label_seed,cv_r2,in_sample_r2,pearson_label_hz_outcome
236,20260954,-0.0004633106097697848,0.0038164392206172515,-0.002603615300919404
237,20260955,-0.008387765909319667,0.0011374396650485341,-0.026002359516924804
238,20260956,-0.003254600207232894,0.00451401017151265,-0.04584995240286491
239,20260957,-0.005668011906750925,0.001258881636291287,0.025783255639162114
240,20260958,-0.006062652769367016,0.0008343222275626339,-0.013884497526641688
241,20260959,-0.007367905785616413,0.0031896249775328345,0.011868234916868479
242,20260960,-0.005047474754826364,0.0015091643123835707,0.023437120177539385
243,20260961,-0.012134899896100615,0.000228551545956579,-0.007557658794971233
244,20260962,-0.002386082780194476,0.0049102338666559,0.025959120260358126
245,20260963,-0.002306239297869439,0.0005291795652891951,0.0031744861425476115
246,20260964,-0.0005293402096633315,0.006676120643686501,0.014675477127848374
247,20260965,-0.001423421354635801,0.0038875165488329033,0.01685606654319066
248,20260966,-0.005555732921442624,0.0008414879440701295,-0.0021186327590321844
249,20260967,-0.009587252473927554,0.0003499825625379316,0.0037374543822217064
250,20260968,-0.0077509159098323455,0.0004466680176830051,-0.006690846811025575
251,20260969,-0.005631096905860611,0.002368034941198971,-0.01592387963988258
252,20260970,-0.009897125185944988,0.0027437343613069265,0.03368721311308091
253,20260971,-0.003057437451792655,0.002208166052340421,-0.026182688331537224
254,20260972,-4.423912515361117e-05,0.005692909003298552,-0.040651862798740716
255,20260973,-0.004980536337517938,0.0020624117614775894,-0.017650946283875632
256,20260974,-0.004841015613335609,0.0024517849595416807,0.03879031816359364
257,20260975,-0.0028444890713350546,0.0007487518518852765,-0.018853227103361323
258,20260976,-0.007515133797775464,0.0005986567613170957,0.0075865454538546475
259,20260977,-0.0046292063811339546,0.0016109572524095617,0.011967441550301043
260,20260978,0.0019034412159183445,0.0054455482456694515,0.026077052641519674
261,20260979,-0.005796572239907594,0.0033964753735558073,0.024580747342693998
262,20260980,-0.006731675675361037,0.0041861372812455055,-0.026336663869377268
263,20260981,-0.0037284522803227027,0.003796802439679281,0.04667736268531998
264,20260982,-0.0005104524373378272,0.005549084459431808,0.00457239004068233
265,20260983,-0.004790351821016836,0.00298255048590379,-0.045567056237279524
266,20260984,0.0017487133065687832,0.0035926712870494315,0.04979294253546497
267,20260985,-0.006038684903562075,0.0008586395818981352,0.006630869348303756
