agent_id,seed,K,gamma,D,global_mean_r,intrinsic_omega,abs_intrinsic_omega,mean_local_alignment
360,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.45257517171315853,0.45257517171315853,0.65893097679798307
361,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.042194927896160521,0.042194927896160521,0.90318391017575306
362,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.39884214619414565,0.39884214619414565,0.65523770181198682
363,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.11035884255402116,0.11035884255402116,0.89171662167484866
364,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.073747569910915481,0.073747569910915481,0.90739078700789877
365,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.62237265822853938,0.62237265822853938,0.28052290375240879
366,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,54.324503746293999,54.324503746293999,-9.7083480217198775e-05
367,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.088155778171771726,0.088155778171771726,0.8817158609251462
368,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-4.651943935804554,4.651943935804554,0.019267649618862424
369,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.020370146430791367,0.020370146430791367,0.88828607534951076
370,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.58568522617813334,0.58568522617813334,0.19485139976163773
371,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.072083095115359513,0.072083095115359513,0.92197483369551758
372,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.42744231412714906,0.42744231412714906,0.68218104745279606
373,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.70897224545189341,0.70897224545189341,0.17174072358575335
374,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.35152525987208783,0.35152525987208783,0.77238887902734799
375,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.19695977319014263,0.19695977319014263,0.82633193855444498
376,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.14010749860536406,0.14010749860536406,0.83096070711827752
377,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.99159989330431897,0.99159989330431897,0.081680203025750228
378,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.26017513392990865,0.26017513392990865,0.81926972529922171
379,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.16871393864810721,0.16871393864810721,0.8810858595421529
380,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.26994959817853759,0.26994959817853759,0.84363571131771087
381,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.093364337224744354,0.093364337224744354,0.87844019150209052
382,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.27498359192000438,0.27498359192000438,0.8170171840649324
383,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,32.594293184051949,32.594293184051949,-0.00069058902014857522
384,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-1.154656880016488,1.154656880016488,0.038690386865996476
385,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.058157058789542547,0.058157058789542547,0.89195301176564457
386,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.4071213536056601,0.4071213536056601,0.55437653545872567
387,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.39884214619414565,0.39884214619414565,0.75710234958045763
388,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.044565194874528556,0.044565194874528556,0.91292717126231016
389,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.21101232689456756,0.21101232689456756,0.88440851856557356
390,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.12728476611925255,0.12728476611925255,0.87049914114420912
391,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.021915103252314855,0.021915103252314855,0.9447353529676914
392,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.69533864701918091,0.69533864701918091,0.17237058912237352
393,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.12344531604422117,0.12344531604422117,0.89842445160929574
394,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.41278001116323459,0.41278001116323459,0.67303727514691358
395,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.46258390549650252,0.46258390549650252,0.41137194597395355
396,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.34476232442393423,0.34476232442393423,0.71730648471573644
397,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.055736682373974653,0.055736682373974653,0.9011347971964716
398,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.03044530332664042,0.03044530332664042,0.8904977643079558
399,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.0057534433712123955,0.0057534433712123955,0.89203871303925553
400,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.65107324711709813,0.65107324711709813,0.26471210190161276
401,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.65107324711709813,0.65107324711709813,0.21958077269216583
402,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.028112755809428607,0.028112755809428607,0.88675492582753435
403,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.74522898685422545,0.74522898685422545,0.19573163470802132
404,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.13019592506423988,0.13019592506423988,0.87603479349437874
405,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.0034516760730071978,0.0034516760730071978,0.91825977914516133
406,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.013435243601918095,0.013435243601918095,0.92336757351372922
407,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.075418081232785081,0.075418081232785081,0.90598382362754448
408,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.02423569371502381,0.02423569371502381,0.91846005107887196
409,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.1801166114623339,0.1801166114623339,0.84203950453936149
410,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.067124326531710604,0.067124326531710604,0.89907477535360558
411,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,2.0016678176235367,2.0016678176235367,0.0099120611412554811
412,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.5062970552694841,0.5062970552694841,0.47189256998146822
413,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.15246265651093438,0.15246265651093438,0.86840730317478243
414,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.090751356398160815,0.090751356398160815,0.90552167499992686
